question,answer
Нарушение геометрии заготовки,Неправильная настройка гидравлического пресса для ковки шара Что бы исправить Провести настройку пресса
дробление,Повышенная кривизна круга Что бы исправить ввести контрольную операцию при приемке круга
дробление,Повышенная кривизна круга Что бы исправить Приобретать круг повышенной точности изготовления
дробление,Кулачки патрона зажимают заготовку с недостаточным усилием Что бы исправить Контроль усилия происать в рабочей инструкции
дробление,Износ инструкмента Что бы исправить Заменить инструмент
дробление,Заготовка при мех. обработке входит в резонанс Что бы исправить внести корректировки в программу мех. обработки
нарушение геометрии,установлен неправильный инструмент Что бы исправить нанести идентификацию на весь инструмент
нарушение геометрии,на малом гибочном (2 гиб) глубина хода поршня контролируется оператором вручную Что бы исправить Доработать систему управления
нарушение геометрии,износ инструмента Что бы исправить проводить контроль заготовки
Отверстия просвелены не перпендикулярно плоскости,Недостаточный контроль за процессом оператором Что бы исправить проводить контроль заготовки
Отверстия просвелены не перпендикулярно плоскости,Износ прижимного механизма Что бы исправить выполнить ремонт прижимного механизма
нечитаемое клеймо,износ клейма Что бы исправить требовагния внести в инструкцию
Заготовка неправильной длины или неправильный угол,невыполненная контрольная операция Что бы исправить Прописать контроль в рабочей инструкции
Заготовка неправильной длины или неправильный угол,Настройка станка изменяются в процессе работы Что бы исправить определить периодичность контрольной протяжки зажимного устройства
Нарушение геометрии,установлен неправильный инструмент Что бы исправить идентифицировать весь инструмент
разрыв шва,неправильное положение шва при гибе Что бы исправить внести данное положение в контрольную инструкцию
некачественная труба,некачественная труба Что бы исправить нет
нарушение геометрии,"неправильная настройка угла, отсутствие универсального приспособления для установки угла Что бы исправить рассмотреть вопрос снабжения станка регулировочным приспособлением"
нарушение геометрии,"неправильная настройка угла, отсутствие универсального приспособления для установки угла Что бы исправить Производить контрольную примерку по кондуктору"
несоотвествие программы геометрической модели заготовки,использование неактуальных файлов при програмировании Что бы исправить Отразить требования по контролю в рабочих инструкциях
Трещины в месте сгиба,Использование неправильного радиуса/матрицы Что бы исправить нанести идентификацию на весь инструмент
Трещины в месте сгиба,неправильная ориентация заготовки на листе Что бы исправить В чертежах указывать направление волокон. Раскладку деталей на листе производить в соответсвии с расположением волокон. Требования по контролю отразить в рабочей инструкции
Трещины в месте сгиба,некачественный материал Что бы исправить обязательно проводить испытания при входном контроле
Нарушение геометрии,Использование неправильного радиуса/матрицы Что бы исправить Отразить требования  в рабочей инструкции
Нарушение геометрии,Износ инструмента Что бы исправить провести стат исследование
недостаточно обработанная поверхность,износ дроби Что бы исправить Разработать инструкцию по работе на дробеструйной машине
недостаточно обработанная поверхность,недостаточное время обработки Что бы исправить Разработать инструкцию по работе на дробеструйной машине
наличие дроби внутри ТСУ,проникновение дроби через отверстия в пластине балки Что бы исправить Добавить дренажное отверстие
повреждение резьбы ввареной гайки дробью,Незакрытая резьба Что бы исправить Приобрести резиновые пробки
Параметры КТЛ не соответствуют требованиям,невыполненная контрольная операция Что бы исправить Проверка технологических карт
Наличие рабочей жидкости внутри балки,Отсутсвие дренажного отверстия в пластине балки Что бы исправить Добавить дренажное отверстие
Нарушение геометрии,Износ/повреждение кондуктора Что бы исправить Контроль прописать в рабочей инструкции
неправильная сборка тсу в кондукторе,"возможность сборки в кондукторе неправильного варианта Что бы исправить Создать мастер-образец для всех ТСУ, применение системы poka-yoke"
Отсутствие идентификаци на сборных кронштейнах,В инструкции отсутствует требование клеймению кронштейнов Что бы исправить Внести в инструкцию изменения
некачественный сварочный шов,"Большая сила тока Что бы исправить Определить прараметры сварки, установить контрольные приборы, установить периодичность контроля"
некачественный сварочный шов,"маленькая сила тока Что бы исправить Определить прараметры сварки, установить контрольные приборы, установить периодичность контроля"
некачественный сварочный шов,"высока скорость подачи проволоки Что бы исправить Определить прараметры сварки, установить контрольные приборы, установить периодичность контроля"
некачественный сварочный шов,несоответствующая сварочная проволока Что бы исправить Выполнять примемку в соответсвии с требованиями к входному контролю. Требования прописать в инструкциях
некачественный сварочный шов,"низкая квалификация сварщика Что бы исправить Определить требования к квалификации сварщика, ввести ежегодную аттестацию"
отсутсвие шва/неправильное расположене шва,ошибка при чтении чертежа Что бы исправить Отметить на мастер-образце все сварочные швы
пересортица/некомплект,визуальное сходство деталей Что бы исправить внести конструктивные элементы отличия деталей
некомплект,Отсутсвие полной информации на участке Что бы исправить Комплектность ТСУ прописывать в паспорте. Комплектовать ТСУ по паспорту.
разрушение упаковки,низкая толщина полиэтилена Что бы исправить Выполнять примемку в соответсвии с требованиями к входному контролю. Требования прописать в инструкциях
разрушение упаковки,незакрепленные кронштейны Что бы исправить закрепить кронштейны в упаковке
разрушение розетки,Розетка плохо защищена в коробке от механического воздействия Что бы исправить Рекомендовать перейти на раздельную упаковку
Невозможность установки ТСУ на автомобиль,"Невозможность установки Что бы исправить Контрольная установка ТСУ, до запуска в производство"
Невозможность установки ТСУ на автомобиль,"Неправильная комплектация Что бы исправить Контрольная установка ТСУ, до запуска в производство"
Невозможность установки ТСУ на автомобиль,"Неправильная геометрия посадочных мест Что бы исправить Контрольная установка ТСУ, до запуска в производство"
Невозможность установки ТСУ на автомобиль,"Неверное расположение элементов конструкции Что бы исправить Контрольная установка ТСУ, до запуска в производство"
Невозможность установки ТСУ на автомобиль,"Нахождение головки шара вне допустимой зоны Что бы исправить Контрольная установка ТСУ, до запуска в производство"
Несоответствие заданным несущим и геометрическим характеристикам,Неверный дизайн. Неверно подобранные параметры компонентов балки Что бы исправить Испытания в соответствии с Правилами R55
Негерметичное соединение при выполнении сварки,Негерметичность сварных швов. Конденсат внутри балки Что бы исправить Добавить дренажное отверстие в пластине при проектировании
Появление трещин на кронштейне при изготовлении,Необходимость применения  радиуса гиба < толщины детали Что бы исправить Заменить цельный кронштейн на сварную конструкцию
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале","Кладовщик: отсутствие сопроводительных документов, несоответствующая информация Что бы исправить Мониторинг выполнения поставщиком контрактных обязательств. Включение в РИ  и мониторинг требований по проверке сопроводительной документации"
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале","Кладовщик: поврежденная, несоответствующая упаковка материалов Что бы исправить Согласование с поставщиком и мониторинг выполнения требований к упаковке. Включение в РИ  и мониторинг требований по контролю внешнего вида упаковки"
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале","Кладовщик: недостаток материалов по количеству, весу Что бы исправить Мониторинг выполнения поставщиком контрактных обязательств. Включение в РИ  и мониторинг требований по проверке комплектности"
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале",Кладовщик: отсутствие записи о приемке материалов в журнале Что бы исправить Включение в РИ  и мониторинг требований по ведению журнала
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале","Порча упаковки, материала  при разгрузке, перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале","Материал: порванная, поврежденная упаковка Что бы исправить Согласование с поставщиком и мониторинг выполнения требований к упаковке.  "
"Материалы приняты не в полной коплектности, ненадлежащего внешнего вида,  без  сопроводительных документов. Не зафиксирован факт приемки в журнале","Отсутствие свободного места для размещения материалов, неприемлемые условия хранения Что бы исправить Мониторинг условий хранения. Мониторинг наличия  свободного места до приемки материалов. "
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO",Кладовщик: отсутствие или  несоответствующие бирки на упаковке Что бы исправить Включение в РИ  и мониторинг требований по проверке бирок
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO","Кладовщик: не обеспечение соответствующих условий хранения Что бы исправить Мониторинг показателей температуры, влажности. Мониторинг ведения журнала записей"
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO","Кладовщик:  несоблюдение принципа FIFO, несоблюдение сроков хранения Что бы исправить Включение в РИ  и мониторинг требований по соблюдению принципа FIFO, контролю за сроками хранения"
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO","Погрузчик, электроштабелер,
рохля: небезопасное перемещение материалов на место хранения, порча упаковки  при перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO","Термометр, гигрометр: некорректная, неточная  информация об условиях хранения на складе Что бы исправить Регулярная поверка термометра, гигрометра"
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO","Материал: порванная, поврежденная упаковка Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки"
"Материалы хранятся без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Материалы выдаются без соблюдения принципа FIFO","Неприемлемые условия хранения на улице,  на складе Что бы исправить Мониторинг условий хранения на улице,  на складе"
"Вторичное сырье соответствующего вида и веса не перемещены на дробление,  не сохранена целостность упаковки и материалов в процессе перемещения",Водитель погрузчика:  полимеры соответствующего вида и веса не перемещены  со склада  в цех на участок дробления Что бы исправить Мониторинг выполнения сменного задания
"Вторичное сырье соответствующего вида и веса не перемещены на дробление,  не сохранена целостность упаковки и материалов в процессе перемещения","Оборудование: погрузчик, электроштабелер,
рохля: порча упаковки, материала  при  перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Вторичное сырье соответствующего вида и веса не перемещены на дробление,  не сохранена целостность упаковки и материалов в процессе перемещения","Материал: полимеры: порванная, поврежденная упаковка при перемещении Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки при перемещении"
"Вторичное сырье соответствующего вида и веса не перемещены на дробление,  не сохранена целостность упаковки и материалов в процессе перемещения","Окружающая среда: склад, цех: не обеспечены соответствующие условия для безопасного перемещения Что бы исправить Мониторинг условий в цехе для безопасного перемещения "
"Вторичное сырье не измельчено, не расфасовано в мешки или мешок переполнился ","Дробильщик: не загружено вторичное сырье в дробилку, отсутствует контроль процесса дробления, вторичное сырье не расфасовано в мешки или мешок переполнился  Что бы исправить Включение в РИ  и мониторинга требований по контролю процесса дробления. Мониторинг выполнения сменного задания"
"Вторичное сырье не измельчено, не расфасовано в мешки или мешок переполнился ",Оборудование: дробилка: несоответствия при дроблении вторичного сырья Что бы исправить Включение в РИ  и мониторинг требований по запуску оборудования. Мониторинг графика ППР дробилки
"Вторичное сырье не измельчено, не расфасовано в мешки или мешок переполнился ","Материал: полимеры: порванная, поврежденная упаковка, порча вторичного сырья при дроблении Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки при дроблении"
"Вторичное сырье не измельчено, не расфасовано в мешки или мешок переполнился ",Окружающая среда: цех: несоответствующие условия для дробления Что бы исправить Мониторинг условий в цехе для соответствующего дробления
"Вторичное сырье соответствующего вида и веса не перемещены на склад,  не сохранена целостность упаковки и материалов в процессе перемещения",Водитель погрузчика:  вторичное сырье соответствующего вида и веса не перемещены на склад Что бы исправить Мониторинг выполнения сменного задания
"Вторичное сырье соответствующего вида и веса не перемещены на склад,  не сохранена целостность упаковки и материалов в процессе перемещения","Оборудование: погрузчик, электроштабелер,
рохля: порча упаковки, материала  при  перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Вторичное сырье соответствующего вида и веса не перемещены на склад,  не сохранена целостность упаковки и материалов в процессе перемещения","Материал: вторичное сырье: порванная, поврежденная упаковка при перемещении Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки при перемещении"
"Вторичное сырье соответствующего вида и веса не перемещены на склад,  не сохранена целостность упаковки и материалов в процессе перемещения","Окружающая среда: склад, цех: не обеспечены соответствующие условия для безопасного перемещения Что бы исправить Мониторинг условий в цехе для безопасного перемещения "
"Материалы, сырье соответствующего вида и веса не перемещены на операцию ""экструзия ПЭТФ"",  не сохранена целостность упаковки и материалов в процессе перемещения","Водитель погрузчика:  материалы, сырье  соответствующего вида и веса не перемещены на операцию ""экструзия ПЭТФ"" Что бы исправить Мониторинг выполнения сменного задания"
"Материалы, сырье соответствующего вида и веса не перемещены на операцию ""экструзия ПЭТФ"",  не сохранена целостность упаковки и материалов в процессе перемещения","Оборудование: погрузчик, электроштабелер,
рохля: порча упаковки, материала  при  перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Материалы, сырье соответствующего вида и веса не перемещены на операцию ""экструзия ПЭТФ"",  не сохранена целостность упаковки и материалов в процессе перемещения","Материал,сырье: порванная, поврежденная упаковка при перемещении Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки при перемещении"
"Материалы, сырье соответствующего вида и веса не перемещены на операцию ""экструзия ПЭТФ"",  не сохранена целостность упаковки и материалов в процессе перемещения","Окружающая среда: склад, цех: не обеспечены соответствующие условия для безопасного перемещения Что бы исправить Мониторинг условий в цехе для безопасного перемещения "
"Экструзия ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ","Машинист экструдера: несоответствия при загрузке сырья, материалов, неверные настройки параметров оборудования, недостаточный контроль процесса  экструзии, продукции в процессе Что бы исправить Мониторинг выполнения сменного задания"
"Экструзия ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ","Оборудование: линия коэкструзии листовых материалов Alfa 2-175 PLUS №11C0012B, микрометр, рулетка: не обеспечена экструзия по заданным параметрам Что бы исправить Включение в РИ  и мониторинг требований по запуску оборудования. Мониторинг графика ППР "
"Экструзия ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ","Материал, сырье:  поврежденная упаковка, несоответствия   материала, сырья Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки, внешнего вида материала, сырья"
"Экструзия ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ",Окружающая среда: цех: не обеспечены соответствующие условия для экструзии Что бы исправить Мониторинг условий в цехе для  экструзии
"Продукция несоответствующего вида и веса не перемещена на резку,  не сохранена целостность упаковки и продукции в процессе перемещения",Машинист экструдера: ПЭТФ соответствующего вида и веса не перемещены на резку Что бы исправить Мониторинг выполнения сменного задания
"Продукция несоответствующего вида и веса не перемещена на резку,  не сохранена целостность упаковки и продукции в процессе перемещения","Оборудование: 
рохля: порча упаковки, продукции  при  перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Продукция несоответствующего вида и веса не перемещена на резку,  не сохранена целостность упаковки и продукции в процессе перемещения","ПЭТФ:порванная, поврежденная ПЭТФ при перемещении Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки при перемещении"
"Продукция несоответствующего вида и веса не перемещена на резку,  не сохранена целостность упаковки и продукции в процессе перемещения",Окружающая среда: цех: не обеспечены соответствующие условия для безопасного перемещения Что бы исправить Мониторинг условий в цехе для безопасного перемещения 
"Резка ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ","Машинист экструдера: несоответствия при загрузке пленки ,поступившей на резку, неверные настройки параметров оборудования, недостаточный контроль процесса  резки, продукции в процессе Что бы исправить Мониторинг выполнения сменного задания"
"Резка ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ","Оборудование:Бобинорезательная машина Kampf №9854D, Шпулерезка (втулкорезка): не обеспечена экструзия по заданным параметрам Что бы исправить Включение в РИ  и мониторинг требований по запуску оборудования. Мониторинг графика ППР "
"Резка ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ","ПЭТФ:  поврежденная ПЭТФ,  несоответствия  продукции Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки, внешнего вида ПЭТФ"
"Резка ПЭТФ проведена с отклонениями от требуемых параметров, характеристики ПЭТФ  не соответствуют требованиям ",Окружающая среда: цех: не обеспечены соответствующие условия для резки Что бы исправить Мониторинг условий в цехе для  резки
"Качество готовой продукции не проконтролировано, не подтверждено соответствие параметров, не зафиксированы результаты контроля в отчете","Машинист экструдера: отсутствие замеров или неверные замеры всех параметров,  отсутствие фиксации результатов контроля в отчете  Что бы исправить Мониторинг выполнения сменного задания"
"Качество готовой продукции не проконтролировано, не подтверждено соответствие параметров, не зафиксированы результаты контроля в отчете","Оборудование: рулетка, весы: некорректная, неточная  информация о значениях измеряемых показателей Что бы исправить Мониторинг графика поверки средств измерения"
"Качество готовой продукции не проконтролировано, не подтверждено соответствие параметров, не зафиксированы результаты контроля в отчете","ПЭТФ: не соответствующий внешний вид, толщина, ширина, длина,  вес, количество, вид шпули Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки, внешнего вида, параметров  готовой продукции"
"Качество готовой продукции не проконтролировано, не подтверждено соответствие параметров, не зафиксированы результаты контроля в отчете",Окружающая среда: цех: не обеспечены соответствующие условия для контроля Что бы исправить Мониторинг условий в цехе для контроля
"ПЭТФ на упакованы, повреждения упаковки, отсутствие бирки","Машинист экструдера: несоответствия при упаковке ПЭТФ, ошибки при наклейке бирки или отсутствие бирки, неверная укладка на паллету Что бы исправить Мониторинг выполнения сменного задания"
"ПЭТФ на упакованы, повреждения упаковки, отсутствие бирки","Паллета, картон, стрейч пленка, скотч, нож, стреплента: не обеспечена требуемая защита готовой продукции для транспортировки Что бы исправить Мониторинг наличия и соответствия материалов для упаковки "
"ПЭТФ на упакованы, повреждения упаковки, отсутствие бирки","ПЭТФ: несоответствующий внешний вид, толщина, ширина, длина,  вес, количество, вид шпули Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки"
"ПЭТФ на упакованы, повреждения упаковки, отсутствие бирки",Окружающая среда: цех: не обеспечены соответствующие условия для упаковки Что бы исправить Мониторинг условий в цехе для  упаковки
"Готовая продукция несоответствующего вида и веса не перемещены на склад готовой продукции,  не сохранена целостность упаковки и продукции в процессе перемещения, нет бирок",Водитель погрузчика:  готовая продукция соответствующего вида и веса не перемещена   с участка  упаковки на склад готовой продукции Что бы исправить Мониторинг выполнения сменного задания
"Готовая продукция несоответствующего вида и веса не перемещены на склад готовой продукции,  не сохранена целостность упаковки и продукции в процессе перемещения, нет бирок","Оборудование: погрузчик, электроштабелер,
рохля: порча упаковки, продукции  при  перемещении Что бы исправить Включение в РИ  и мониторинг требований по аккуратной эксплуатации оборудования"
"Готовая продукция несоответствующего вида и веса не перемещены на склад готовой продукции,  не сохранена целостность упаковки и продукции в процессе перемещения, нет бирок","ПЭТФ:  порванная, поврежденная упаковка при перемещении Что бы исправить Включение в РИ  и мониторинг требований по контролю целостности упаковки при перемещении"
"Готовая продукция несоответствующего вида и веса не перемещены на склад готовой продукции,  не сохранена целостность упаковки и продукции в процессе перемещения, нет бирок","Окружающая среда: цех, склад готовой продукции: не обеспечены соответствующие условия для безопасного перемещения Что бы исправить Мониторинг условий в цехе для безопасного перемещения "
"Готовая продукция хранится без сопроводительных бирок,  не соблюдаются условия хранения, не соблюдается срок хранения. Готовая продукция  выдается без соблюдения принципа FIFO",Кладовщик: отсутствие или  несоответствующие бирки на упаковке Что бы исправить Включение в РИ  и мониторинг требований по проверке бирок
